# 일본어 표제어 -> 한국어 뜻
#
# JMdict의 영어 뜻(CC BY-SA 4.0)을 참고해 한국어로 옮긴 것이므로, 이 파일도 JMdict의
# 파생 데이터에 해당한다. LICENSES.md 참고.
#
# 형식: 표제어<TAB>한국어뜻
# 검수 시에는 build/vocab_raw.csv 의 english 컬럼과 대조하면 된다.
一つ	하나, 한 개
モデル	모델
モノ	모노
モーター	모터
ユーモア	유머
ヨット	요트
ライター	라이터
ラグビー	럭비
ラケット	라켓
ラジオ	라디오
ラッシュ	러시
ラッシュアワー	러시아워
ランチ	점심, 런치
ランニング	러닝, 달리기
リクエスト	리퀘스트, 요청
リスト	리스트, 목록
リズム	리듬
リットル	리터
リボン	리본
リポート	리포트, 보고서
リモコン	리모컨
リード	리드, 선두
ルーム	룸, 방
ルール	룰, 규칙
レインコート	레인코트, 비옷
レギュラー	레귤러, 정규
レクリェーション	레크리에이션
レコード	레코드, 음반
レシート	영수증
レジャー	레저, 여가
レストラン	레스토랑
レベル	레벨, 수준
レモン	레몬
レンズ	렌즈
レンタル	렌털, 대여
レントゲン	엑스레이, 뢴트겐
ロケット	로켓
ロッカー	사물함, 로커
ロック	잠금, 록
ロビー	로비
ロボット	로봇
ロマンチック	낭만적임, 로맨틱함
ロープ	로프, 밧줄
ローン	대출, 론
ワイン	와인
ワット	와트
ワンピース	원피스
ワープロ	워드프로세서
一人で	혼자서
一休み	잠깐 쉼, 한숨 돌림
一先ず	우선, 일단
一年中	일 년 내내
一日	하루
一日中	하루 종일
一時	한때, 잠시
一気に	단숨에
一行	일행
一足	한 걸음, 한 켤레
七日	7일, 이레
万	만, 10000
三日	3일, 사흘
上	위
上せる	올리다
上下	상하, 위아래
下	아래
下らない	시시하다, 하찮다
下ろす	내리다
下手	서투름, 아랫자리
中	안, 속
中中	좀처럼, 꽤
九日	9일, 아흐레
二人前	2인분
二十	스물, 20
二十日	20일, 스무날
二日	2일, 이틀
五日	5일, 닷새
人	~인(사람)
人前	1인분, 남들 앞
今ごろ	지금쯤
今にも	당장이라도
今日は	안녕하세요
休める	쉬게 하다
会	모임, 회
何かと	이래저래
何となく	어쩐지, 왠지
何れ	어느 것
何れ何れ	어느 것이든
何時でも	언제든지
何時の間にか	어느새
何時までも	언제까지나
何時も	언제나, 늘
先	끝, 앞
先ず	우선, 먼저
入る	들어가다
入れる	넣다
八つ	여덟, 여덟 개
八日	8일, 여드레
六つ	여섯, 여섯 개
六日	6일, 엿새
分	부분, 몫
前	앞, 전
前書き	머리말, 서문
十日	10일, 열흘
口々に	저마다, 입을 모아
口げんか	말다툼
口ごもる	말을 얼버무리다
四日	4일, 나흘
外に	그 밖에, 따로
多	다~, 많음
大きさ	크기
大した	대단한
大して	그다지, 별로
大人しい	얌전하다, 온순하다
大学生	대학생
天の川	은하수
天ぷら	튀김, 덴푸라
安っぽい	싸구려 같다
小火	작은 화재
少しも	조금도
店	가게, 상점
新	신~, 새~
日の入り	일몰, 해넘이
日ソ	일소(일본과 소련)
時には	때로는
書く	쓰다
月	달
本	책
母国語	모국어
毎	매~, 각각
毎に	~마다
気まま	제멋대로임
生	날것, 생~
生える	나다, 자라다
生ずる	생기다, 발생하다
生まれ	출생, 태생
生まれる	태어나다
空く	비다, 한산해지다
空しい	허무하다, 헛되다
立ち読み	서서 읽기
立てる	세우다
聞く	듣다, 묻다
行く	가다
行けない	안 된다, 못 간다
行けません	안 됩니다
見す見す	뻔히 보면서
見た目	겉보기, 외관
見っともない	꼴사납다, 보기 흉하다
見なす	간주하다, 여기다
見る見る	순식간에
見出す	찾아내다, 발견하다
金	돈, 금
金もうけ	돈벌이
長話	긴 이야기
飲食店	음식점
ＡＩＤＳ	에이즈
Ｙシャツ	와이셔츠
一方	한편, 한쪽
世界	세계
中心	중심
事業	사업
今回	이번
仕事	일, 업무
以来	이래, 이후
会員	회원
住民	주민
作品	작품
作業	작업
光	빛
写真	사진
分野	분야
動き	움직임, 동향
台	받침대, 대
合意	합의
同時	동시
問題	문제
国家	국가
国民	국민
土地	토지, 땅
地元	현지, 고장
地方	지방
場所	장소
声	목소리
夏	여름
家族	가족
工場	공장
市場	시장
市民	시민
意味	의미, 뜻
意見	의견
明らか	명백함, 분명함
映画	영화
春	봄
時代	시대
業界	업계
業者	업자
民主	민주
民族	민족
民間	민간
気持ち	기분, 마음
海外	해외
特に	특히
特別	특별함
理事	이사
生産	생산
産業	산업
病院	병원
発言	발언
知事	지사(도지사)
研究	연구
私	나, 저
秋	가을
立場	입장, 처지
考え	생각
自ら	스스로, 몸소
自分	자기, 자신
自動車	자동차
行動	행동
見方	견해, 보는 법
見通し	전망, 예상
計画	계획
試合	시합, 경기
質問	질문
運動	운동
都市	도시
銀	은
銀行	은행
開発	개발
音楽	음악
顔	얼굴
不動産	부동산
不安	불안
不明	불명, 불분명함
不足	부족
世代	세대
人事	인사(人事)
人民	인민
人物	인물
今度	이번, 다음번
会合	회합, 모임
会場	회장, 행사장
体	몸
体験	체험
作家	작가
使う	쓰다, 사용하다
使用	사용
先進国	선진국
出場	출전, 출연
前回	지난번
動物	동물
医学	의학
問う	묻다
回答	회답, 답변
声明	성명
夜	밤
大使	대사
大切	소중함, 중요함
工事	공사
工業	공업
市長	시장(市長)
思い	생각, 마음
思う	생각하다
思わず	엉겁결에, 무심코
文学	문학
文書	문서
料理	요리
料金	요금
旅行	여행
有力	유력함
林	숲, 수풀
森	숲
歌	노래
母親	어머니
海	바다
父親	아버지
町	마을, 동네
病気	병, 질병
発行	발행
知る	알다
社員	사원, 직원
色	색, 색깔
英語	영어
行方	행방
親	부모
試験	시험
話題	화제
説明	설명
赤字	적자
進出	진출
運転	운전
開始	개시, 시작
集会	집회
音	소리
首都	수도
黒字	흑자
中止	중지, 취소
乗用車	승용차
代わり	대신, 대리
代理	대리
以前	이전, 예전
低下	저하
住所	주소
何度	몇 번, 몇 도
冬	겨울
勉強	공부
友好	우호
合同	합동
合計	합계
味	맛
地	땅, 지면
地上	지상
地下	지하
売り上げ	매출
売買	매매
大使館	대사관
学習	학습
学者	학자
小説	소설
帰国	귀국
年度	연도
建物	건물
急	급함, 갑작스러움
手紙	편지
教室	교실
文字	문자, 글자
旅	여행
有名	유명함
村	마을, 촌
歌手	가수
正午	정오
死者	사망자
注目	주목
物語	이야기, 설화
物質	물질
犬	개
発売	발매
発生	발생
発足	발족, 출범
私立	사립
紙	종이
自主	자주, 자율
行使	행사(권리를 씀)
話し合い	대화, 논의
近代	근대
運用	운용
都	수도, 도(都)
重大	중대함
野菜	채소, 야채
門	문
集中	집중
電力	전력
青	파랑, 청색
青年	청년
食事	식사
食品	식품
首	목
黒	검정, 흑색
黒人	흑인
一体	도대체
一切	일체, 전혀
一家	일가, 한 집안
不正	부정, 부정행위
主体	주체
仕方	방법, 방식
代行	대행
以下	이하
体質	체질
作る	만들다
先頭	선두, 맨 앞
入場	입장
入試	입시
入院	입원
別に	별로, 딱히
台風	태풍
同一	동일함
土曜	토요일
大学院	대학원
工作	공작, 만들기
市立	시립
広い	넓다
弟	남동생
強さ	강함, 세기
強力	강력함
心理	심리
思わく	예상, 속셈
意外	의외임
昼	낮, 점심
曜日	요일
服	옷
東洋	동양
森林	삼림, 숲
楽しみ	즐거움, 기대
正	정(正), 참
注意	주의
注文	주문
海上	해상
生物	생물
発見	발견
県立	현립
知人	지인
答	답, 대답
自動	자동
自転車	자전거
薬	약
試み	시도
読者	독자
質	질, 품질
運転手	운전기사
野	들판, 야(野)
開会	개회
食料	식료, 식량
鳥	새
世話	돌봄, 신세
人工	인공
代金	대금, 값
会計	회계, 계산
体力	체력
体重	체중
借金	빚
元	근원, 원래
元首	원수(국가원수)
兄	형, 오빠
兄弟	형제
出産	출산
出発	출발
医薬品	의약품
図書館	도서관
国産	국산
地図	지도
夏休み	여름방학, 여름휴가
安心	안심
広場	광장
思い切って	큰맘 먹고, 과감히
悪	악
意図	의도
所有	소유
教会	교회
文明	문명
日曜	일요일
早朝	이른 아침
明日	내일
昼食	점심 식사
朝日	아침 해
本体	본체
本音	속마음, 본심
死去	사망
池	연못
海洋	해양
用意	준비
画家	화가
発電	발전(전기 생산)
短大	전문대학
終わり	끝, 마지막
肉	고기
行事	행사
見事	훌륭함, 멋짐
親子	부모와 자식
都心	도심
お茶	차, 녹차
世	세상
世の中	세상, 세간
世間	세상, 세간
主に	주로
二重	이중
以後	이후
作者	작자, 저자
働き	작용, 활동
元気	건강함, 활기참
出来事	사건, 일
前進	전진
医者	의사
古代	고대
同意	동의
売り場	매장, 판매장
夕食	저녁 식사
夜間	야간
妹	여동생
家事	집안일, 가사
工学	공학
強気	강경함, 자신만만함
思い出	추억
教員	교원, 교사
本物	진짜, 진품
本質	본질
正月	설, 정월
死体	시체
牛	소
特集	특집
発	출발, ~발
発電所	발전소
終える	끝내다, 마치다
自国	자국
茶	차
買い物	쇼핑, 장보기
赤ちゃん	아기
近所	근처, 이웃
送る	보내다
進学	진학
運ぶ	나르다, 옮기다
都会	도회지, 도시
重さ	무게
飯	밥
高度	고도
一員	일원
上映	상영
人質	인질
代代	대대로
休業	휴업
作	작품, 작(作)
区間	구간
台所	부엌
品質	품질
問い	물음, 질문
回転	회전
夕方	저녁, 해질녘
大工	목수
大正	다이쇼 시대
姉	언니, 누나
始まり	시작, 기원
帰り	귀가, 돌아옴
年代	연대
広げる	넓히다, 펼치다
店員	점원
持ち	가짐, 지님
方々	여러분, 분들
時計	시계
有料	유료
水田	논
漢字	한자
特色	특색
産地	산지
用紙	용지
用語	용어
着	~벌(옷 세는 단위)
短歌	단카(일본 정형시)
究明	규명
計	계획, 합계
通知	통지
通話	통화
進歩	진보
進行	진행
都合	사정, 형편
都立	도립(도쿄도립)
集める	모으다
青春	청춘
音声	음성
事	일, 것
元日	설날, 1월 1일
出力	출력
切手	우표
別れ	이별, 헤어짐
前夜	전야, 어젯밤
合う	맞다, 어울리다
合わせる	맞추다
図	그림, 도표
売り物	판매품
売る	팔다
大事	중요함, 소중함
大好き	아주 좋아함
好み	취향, 기호
姉妹	자매
広さ	넓이
強引	억지스러움, 무리함
後方	후방, 뒤쪽
思考	사고, 생각
持つ	들다, 가지다
昼間	낮, 주간
朝食	아침 식사
本文	본문
気味	기미, 낌새
水産	수산
牛肉	쇠고기
白紙	백지
真ん中	한가운데
立体	입체
西洋	서양
見送り	배웅, 보류
見送る	배웅하다, 보류하다
貸し出し	대출, 대여
通行	통행
運送	운송
重み	무게, 무게감
金曜	금요일
食べ物	음식, 먹을 것
食堂	식당
作文	작문
作用	작용
使い	심부름
区	구(행정구역)
名門	명문
味方	자기편, 아군
回	~회, ~번
図書	도서
地味	수수함
場合	경우
大地	대지, 땅
家計	가계, 살림
小売り店	소매점
小屋	오두막, 헛간
広大	광대함
引き金	방아쇠, 계기
強める	강하게 하다
悪質	악질적임
手軽	간편함
文字通り	문자 그대로
旅館	여관, 료칸
明るい	밝다
映画館	영화관
暑さ	더위
朝	아침
歩	걸음, 보
物理	물리
特有	특유함
真意	진의, 본뜻
着物	기모노, 옷
知り合い	아는 사람, 지인
終始	시종, 처음부터 끝까지
肉親	육친, 혈육
言い方	말투, 표현
言動	언동
運	운
重ねる	겹치다, 거듭하다
金持ち	부자
集まり	모임
集合	집합
下町	서민 동네
不服	불복, 불만
中世	중세
主題	주제
人体	인체
入門	입문
切り	끝, 마무리
別々	따로따로임
動員	동원
区別	구별
去年	작년
合間	틈, 짬
名作	명작
地理	지리
好意	호의
学問	학문
寒さ	추위
小切手	수표
屋上	옥상
建て前	겉치레, 원칙론
弟子	제자
強風	강풍
後者	후자
手元	수중, 곁
早める	앞당기다
明白	명백함
月曜	월요일
気軽	부담 없음, 홀가분함
水曜	수요일
海水	해수, 바닷물
火事	화재, 불
物語る	이야기하다, 말해주다
特急	특급
発作	발작
真理	진리
考える	생각하다
薬品	약품
親族	친족
走る	달리다
送金	송금
通学	통학
野外	야외
間近	아주 가까움
下着	속옷
乗せる	태우다, 싣다
出品	출품
切る	자르다, 끊다
合理	합리
名所	명소
四方	사방
国有	국유
土台	토대, 기초
土産	선물, 특산품
堂々	당당하게
売春	매춘
好ましい	바람직하다
学力	학력(실력)
安売り	염가 판매
家屋	가옥
度合	정도
引き出し	서랍, 인출
意地	고집, 오기
持ち主	소유자, 주인
日光	햇빛
木曜	목요일
毎朝	매일 아침
洋服	양복, 서양식 옷
洋画	서양화, 외국 영화
理学	이학, 자연과학
真っ暗	캄캄함
社説	사설
終わる	끝나다
肉体	육체
自白	자백
英文	영문
行進	행진
話し合う	의논하다, 대화하다
電池	전지, 배터리
食物	음식물
仕上げ	마무리
仕入れ	매입, 사들임
以上	이상
先着	선착
動作	동작
区分	구분
区画	구획
名物	명물
図る	도모하다, 꾀하다
大方	대부분, 대체로
屋外	옥외, 야외
山林	산림
年始	연초, 새해
引き分け	무승부
思いやり	배려
教え	가르침
明暗	명암
本場	본고장
林業	임업
歩道	인도, 보도
注	주석
火力	화력
生地	천, 원단
発着	발착
親しむ	친하게 지내다
重体	위독한 상태
重力	중력
青空	푸른 하늘
主として	주로
便り	소식
借りる	빌리다
前売り	예매
前者	전자
夜中	한밤중
大体	대체로, 대강
強行	강행
楽	편함, 수월함
止まる	멈추다, 서다
気力	기력
気楽	마음 편함
物事	사물, 매사
特産	특산
生き物	생물, 살아있는 것
産物	산물
病室	병실
発起人	발기인
真っ赤	새빨감
着る	입다
起こす	일으키다, 깨우다
運行	운행
開店	개점
題名	제목
不気味	으스스함, 섬뜩함
主食	주식
低い	낮다
入力	입력
出世	출세
力強い	힘차다, 든든하다
品物	물건, 상품
問屋	도매상
回帰	회귀
地主	지주
地名	지명
夜明け	새벽, 동틀 녘
天体	천체
小売	소매
心地	기분, 느낌
悪口	험담, 욕
方言	방언, 사투리
書物	서적, 책
水族館	수족관
水着	수영복
真っ先	맨 먼저, 선두
真夏	한여름
見地	견지, 관점
見所	볼거리, 볼만한 점
見物	구경
親友	친한 친구
通る	지나가다, 통과하다
野心	야심
題	제목
不作	흉작
乗車	승차
会心	회심, 마음에 듦
何事	무슨 일
作物	작물, 농작물
前方	전방, 앞쪽
回す	돌리다
引き上げる	끌어올리다, 인상하다
引き下げる	끌어내리다, 인하하다
心中	동반자살, 마음속
思い出す	떠올리다, 생각나다
文学者	문학자
明かり	불빛, 등불
歌う	노래하다
正体	정체, 본모습
火薬	화약
物体	물체
病人	환자
発病	발병
白鳥	백조
真っ白	새하얌
茶色	갈색
親切	친절함
赤い	빨갛다
起こる	일어나다, 발생하다
足首	발목
道場	도장
長所	장점
音色	음색
高地	고지
不本意	본의 아님
合図	신호
問い合わせる	문의하다
売り出す	발매하다, 내놓다
売店	매점
早い	이르다, 빠르다
楽しい	즐겁다
楽しむ	즐기다
歌声	노랫소리
気質	기질
発明	발명
知り合う	서로 알게 되다
空き地	공터, 빈터
親しみ	친근감
運動会	운동회
顔色	안색
上着	겉옷, 상의
写る	찍히다, 비치다
地質	지질
夜空	밤하늘
好む	좋아하다, 선호하다
好転	호전
始める	시작하다
学界	학계
建つ	세워지다, 지어지다
引用	인용
弱気	나약함, 소극적임
昼夜	주야, 밤낮
本屋	서점
火曜日	화요일
生死	생사
生理	생리
発音	발음
言い回し	말투, 표현
通行止め	통행금지
上京	상경
不合理	불합리함
今夜	오늘 밤
作動	작동
借り	빌림, 빚
元来	원래, 본래
分業	분업
動かす	움직이다
大別	대별, 크게 나눔
始発	첫차, 첫 출발
小鳥	작은 새
年頭	연초
引きずる	질질 끌다
強い	강하다, 세다
強いる	강요하다
待つ	기다리다
思い切り	마음껏, 실컷
日帰り	당일치기
昼休み	점심시간
民話	민화, 민간설화
注ぐ	붓다, 따르다
漢方薬	한약
火曜	화요일
生計	생계
着手	착수
茶の間	거실, 다실
見合い	맞선
試す	시험하다, 해보다
赤道	적도
近世	근세
金色	금색
駅員	역무원
黒い	검다
不通	불통, 두절
乗り物	탈것, 교통수단
今朝	오늘 아침
体長	몸길이
使い道	쓰임새, 용도
出題	출제
別名	별명, 다른 이름
大家	대가, 거장
寒気	한기, 오한
市外	시외
手首	손목
文体	문체
昼前	오전, 점심 전
水力	수력
町中	시내, 번화가
茶道	다도
貸し	빌려줌, 대여
通夜	밤샘, 초상집 밤샘
代用	대용
別問題	별개 문제
動力	동력
問答	문답
国力	국력
太い	굵다
好物	좋아하는 음식
学説	학설
家主	집주인
広まる	퍼지다, 널리 알려지다
弱み	약점
急行	급행
日用品	일용품
正門	정문
病死	병사
行楽	행락, 나들이
読み方	읽는 법
近い	가깝다
通う	다니다
通す	통과시키다, 꿰다
重心	무게중심
間に合う	제시간에 대다, 충분하다
間に合わせる	임시변통하다
集まる	모이다
飲み物	음료, 마실 것
一同	일동, 모두
不運	불운
乗る	타다
大通り	큰길, 대로
書き方	쓰는 법
本心	본심
茶わん	밥공기, 찻잔
風力	풍력
七夕	칠석
不便	불편함
名声	명성
後回し	뒤로 미룸
急ぐ	서두르다
早口	빠른 말투
服用	복용
特質	특질
用いる	쓰다, 사용하다
発する	발하다, 내다
真夜中	한밤중
説教	설교, 잔소리
足音	발소리
長持ち	오래감
高低	고저, 높낮이
万事	만사, 모든 일
別れる	헤어지다
家出	가출
度々	자주, 여러 번
引き出す	꺼내다, 인출하다
有りのまま	있는 그대로
洗う	씻다
発声	발성
発火	발화, 점화
親日	친일
進入	진입
乗り気	내킴, 마음이 동함
仕送り	생활비 부침, 송금
代える	대신하다, 바꾸다
便乗	편승
写す	베끼다, 찍다
地下道	지하도
夕日	석양
小牛	송아지
弱い	약하다
悪人	악인, 나쁜 사람
手引	안내, 길잡이
旅立つ	여행을 떠나다
明け方	새벽녘
正しい	옳다, 바르다
洋食	양식, 서양 요리
病弱	병약함
発送	발송
親しい	친하다
試し	시험, 시도
近道	지름길
進む	나아가다, 진행되다
道理	도리, 이치
人通り	사람의 왕래
便所	변소, 화장실
兄さん	형, 오빠
八百屋	채소가게
北風	북풍
品切れ	품절
品名	품명
姉さん	언니, 누나
帰京	귀경
弱まる	약해지다
悪者	악당, 나쁜 놈
文通	편지 왕래
昼下がり	이른 오후
月光	달빛
有する	가지다, 지니다
洋風	서양식
用事	볼일, 용무
画用紙	도화지
発車	발차, 출발
短い	짧다
自明	자명함
貸借	대차, 빌리고 빌려줌
遠足	소풍
重い	무겁다
青い	파랗다
不意	갑작스러움, 불시
五十音	오십음
以外	이외
低音	저음
写生	사생, 스케치
名字	성(姓)
引き起こす	일으키다, 야기하다
弱める	약하게 하다
急病	급병, 급환
早春	이른 봄
朝顔	나팔꽃
病む	앓다, 병들다
肉食	육식
自首	자수
試みる	시도하다
質屋	전당포
運動場	운동장
不都合	형편이 나쁨, 부적절함
味わう	맛보다
売り手	파는 쪽, 매도자
悪意	악의
持ち物	소지품
気体	기체
海産物	해산물
特売	특매, 특가 판매
着色	착색
短所	단점
起立	기립
遠方	먼 곳
青ざめる	새파래지다, 창백해지다
高音	고음
不注意	부주의함
仕入れる	사들이다, 매입하다
光る	빛나다
勉学	면학, 공부
好都合	형편이 좋음
始まる	시작되다
弱音	약한 소리, 푸념
手品	마술, 요술
手洗い	손 씻기, 화장실
映る	비치다, 반영되다
水洗	수세, 물로 씻음
水色	하늘색
物足りない	뭔가 부족하다
用心	조심, 경계
真っ青	새파람
転がす	굴리다
転がる	구르다
送別	송별
万引	좀도둑질
使用人	고용인
冬休み	겨울방학
去る	떠나다, 지나가다
悪女	악녀
気心	성미, 속마음
漢文	한문
画する	긋다, 구획하다
秋風	가을바람
終電	막차
運休	운휴, 운행 중지
重工業	중공업
風上	바람이 불어오는 쪽
代わる	대신하다, 교체되다
力持ち	힘센 사람, 장사
待ち合わせ	만나기로 함, 약속
待ち遠しい	몹시 기다려지다
白菜	배추
自問	자문
見物人	구경꾼
顔立ち	생김새, 이목구비
一風	좀 색다름
広める	넓히다, 퍼뜨리다
見合わせる	서로 마주보다, 보류하다
貸す	빌려주다
起きる	일어나다
遠ざかる	멀어지다
風下	바람이 불어가는 쪽
食い止める	막아내다, 저지하다
同	같은, 동~
悪事	악행, 나쁜 짓
所々	여기저기, 곳곳
早起き	일찍 일어남
洋間	서양식 방
真心	진심
終着駅	종착역
西洋人	서양인
通用	통용
長引く	오래 끌다, 길어지다
下品	천박함, 상스러움
乗り場	타는 곳, 승강장
作り上げる	만들어내다, 완성하다
元々	원래, 본래
動じる	동요하다
同じ	같음, 동일함
広がる	넓어지다, 퍼지다
毎度	매번
物音	무슨 소리, 인기척
見習い	견습, 수습
赤飯	팥밥
文語	문어
暑い	덥다
着せる	입히다
軽い	가볍다
遠い	멀다
回り道	우회로, 돌아가는 길
大文字	대문자
歩合	비율, 수수료
見ず知らず	생면부지
貸し出す	대출하다, 빌려주다
転ぶ	넘어지다
乗じる	틈타다, 편승하다
早まる	앞당겨지다, 성급해지다
春分	춘분
洋書	서양 서적
耳元	귓가
そよ風	산들바람
帰る	돌아가다
引力	인력
意地悪	심술궂음
映す	비추다, 상영하다
漢語	한자어
私用	사용(私用), 개인 용무
自習	자습
話し声	말소리
合わす	맞추다
思い切る	단념하다
教える	가르치다
春夏秋冬	춘하추동
目薬	안약
立ち止まる	멈춰 서다
重んじる	중히 여기다
一通り	대충, 한 차례
分からず屋	고집불통
心強い	든든하다
私たち	우리
乗り出す	나서다, 착수하다
夕立	소나기
夕飯	저녁밥
寒い	춥다
急所	급소
貸し切り	전세, 대절
青白い	창백하다
仕方がない	어쩔 수 없다
入れ物	그릇, 용기
弟子入り	제자로 들어감
菜食	채식
不親切	불친절함
仕上げる	마무리하다, 완성하다
力む	힘을 주다, 안간힘 쓰다
待ち合わせる	만나기로 하다
思い上がる	우쭐대다, 자만하다
悪用	악용
意気地	패기, 자존심
教わる	배우다, 가르침을 받다
暗い	어둡다
月夜	달밤
研ぐ	갈다, 씻다
習う	배우다
人見知り	낯가림
始終	시종, 늘
小便	소변
弱る	약해지다, 곤란해지다
明かす	밝히다, 밤을 새우다
着々	착착, 차근차근
色々	여러 가지
不時着	불시착
乗り回す	타고 돌아다니다
入室	입실
同上	동상, 위와 같음
店開き	개점, 개업
強まる	강해지다
区切る	구분 짓다, 끊다
太る	살찌다
小文字	소문자
帰す	돌려보내다
正に	바로, 틀림없이
死人	죽은 사람
洗い物	설거지, 빨래
物好き	유별난 것을 좋아함
生意気	건방짐
通じる	통하다
重なる	겹치다
上品	고상함, 품위 있음
仕立てる	짓다, 마련하다
口止め	입막음
回る	돌다
夜学	야학
思いがけない	뜻밖이다
明年	내년
正す	바로잡다
歩む	걷다, 나아가다
死ぬ	죽다
町外れ	변두리
軽はずみ	경솔함
ご飯	밥, 식사
住む	살다, 거주하다
大屋	집주인
引け目	열등감, 꿀림
明朝	내일 아침
洋室	서양식 방
短気	성급함
立ち去る	떠나다, 자리를 뜨다
見習う	본받다
起き上がる	일어나다, 몸을 일으키다
間借り	셋방살이
悪い	나쁘다
あの世	저승
お中元	오추겐(중원 선물)
お代わり	한 그릇 더
お兄さん	형, 오빠
お医者さん	의사 선생님
お土産	선물, 특산품
お姉さん	언니, 누나
お帰り	돌아옴
お帰りなさい	어서 오세요(귀가 인사)
お手洗い	화장실
お早う	안녕(아침 인사)
お目出度う	축하합니다
かも知れない	~일지도 모른다
か弱い	가냘프다, 연약하다
ご主人	남편분, 주인어른
その物	그 자체
ちり紙	화장지, 휴지
やり切れない	견딜 수 없다
やり方	방식, 하는 법
イスラム教	이슬람교
キリスト教	기독교
ローマ字	로마자
一度に	한꺼번에
一心に	한마음으로, 열심히
一重	홑겹
不動産屋	부동산 중개소
不味い	맛없다
不図	문득
不意に	갑자기, 불시에
主	주됨, 주요함
乗ずる	틈타다, 편승하다
事による	경우에 따르다
代わる代わる	번갈아
以て	~로써
住まい	거처, 주거
何方	어느 쪽, 어느 분
作り話	꾸며낸 이야기
働く	일하다
元より	원래, 물론
分別	분별, 사리 판단
切ない	애달프다, 안타깝다
切れ	조각, 자투리
切れる	끊어지다, 잘 들다
別	구별, 별개
前借り	가불
力	힘
力試し	힘 시험, 실력 시험
動く	움직이다
動もすれば	자칫하면
区々	제각각임
千切る	잘게 찢다
千切れる	잘게 찢어지다
口答え	말대꾸
同音	같은 음, 동음
品	물건, 품질
員	~원(구성원)
回り	회전, 주위
図々しい	뻔뻔하다
図書室	도서실
土曜日	토요일
場	장소, 자리
売り切れ	매진, 품절
売り切れる	다 팔리다
売れる	팔리다
夏ばて	더위 먹음
大便	대변
大声	큰 소리
大急ぎ	몹시 서두름
好き	좋아함
好き好き	취향 나름
始めに	우선, 처음에
字	글자
字引	사전
字画	획수
室	방, 실
家	집
市	시장, 시(市)
度	~번, 정도
建てる	짓다, 세우다
引きつる	경련이 일다, 땅기다
引き止める	붙잡다, 만류하다
引く	당기다, 끌다
弱	약간 못 미침
強いて	굳이, 억지로
強ち	반드시 (~은 아니다)
待合室	대합실
心	마음
思いとどまる	단념하다
急かす	재촉하다
急用	급한 볼일
悪しからず	양해 바랍니다
悪寒	오한
悪気	악의
所	곳, 장소
所が	그런데
所で	그런데, 그건 그렇고
持って行く	가져가다
持てる	가질 수 있다, 인기 있다
文	문장, 글
料	요금, ~료
方	방향, 쪽
日曜日	일요일
早々	서둘러, 일찌감치
早く	빨리, 일찍
早引き	조퇴
明くる	다음 ~
明くる日	이튿날
明ける	밝다, 새다
明後日	모레
映える	빛나다, 돋보이다
月曜日	월요일
有らゆる	모든, 온갖
朝飯	아침밥
木曜日	목요일
止す	그만두다
止む	그치다, 멎다
止めどなく	끝없이
止める	멈추다, 그만두다
歩く	걷다
歩行者	보행자
歩行者天国	차 없는 거리
水曜日	수요일
注す	붓다, 따르다
父兄	학부모
物	물건, 것
生き方	삶의 방식
用	용무, 볼일
田	논
画	획
病	병
目出度い	경사스럽다
目方	무게
目茶目茶	엉망진창임
県	현(일본 행정구역)
真	참, 진실
真っ黒	새까맘
着く	도착하다
知らず知らず	자기도 모르게
知らせ	알림, 소식
知らせる	알리다
知れる	알려지다
秋分	추분
空地	공터, 빈터
者	사람, 자
自ずから	저절로, 자연히
色んな	여러 가지
英気	영기, 뛰어난 기상
行き止まり	막다른 곳
説	설, 학설
説く	설명하다, 설파하다
貸間	셋방
近く	근처, 가까이
近日	근일, 머지않아
送別会	송별회
通り	거리, 대로
進める	진행하다, 앞으로 내보내다
遠く	멀리
都市ガス	도시가스
重たい	묵직하다
重んずる	중히 여기다
金曜日	금요일
銀紙	은박지
開く	열다, 열리다
開ける	트이다, 열리다
間に合せ	임시변통
集る	모이다
音読	음독, 소리 내어 읽기
音読み	음독(한자음)
頭	~마리(큰 동물)
顔なじみ	낯익은 사이
風	바람
飲料水	음료수
黒子	점(피부)
一番	제일, 가장
一般	일반, 보통
一部	일부
不況	불황
与党	여당
中央	중앙
予定	예정
予算	예산
事件	사건
事務	사무
事務所	사무소
事実	사실
事情	사정
事故	사고
交流	교류
代表	대표
会談	회담
会議	회의
住宅	주택
体制	체제
価格	가격
信	믿음, 신의
個人	개인
候補	후보
優勝	우승
全体	전체
全国	전국
共同	공동
具体的	구체적
内容	내용
出身	출신
初	처음, 최초
判断	판단
判決	판결
制度	제도
努力	노력
労働	노동
効果	효과
勢力	세력
医療	의료
協力	협력
協議	협의
危機	위기
原則	원칙
原因	원인
参加	참가
反対	반대
取引	거래
可能	가능함
周辺	주변
和平	화평, 평화
商品	상품
回復	회복
団体	단체
国内	국내
国連	유엔
国際	국제
地域	지역
地球	지구
基本	기본
基準	기준
報告	보고
報道	보도
変化	변화
外交	외교
外務省	외무성
外相	외무장관
大幅	대폭
大蔵省	대장성(옛 재무부)
夫	남편
女性	여성
妻	아내
委員	위원
委員会	위원회
子供	아이, 자녀
安全	안전
客	손님
家庭	가정
容疑者	용의자
対応	대응
対象	대상
将来	장래, 미래
